X,Y,Z,Intensity
58.742924,0.02900786,2.1950116,0.0
57.720448,0.2090567,2.161085,0.0
57.818966,0.39110607,2.1641586,0.0
58.256485,0.5781567,2.179234,0.0
57.876003,0.756205,2.1663058,0.0
57.595528,0.93325317,2.157377,0.0
59.073044,1.1433097,2.2074618,0.0
60.083805,1.2573403,2.2415078,0.0
59.93732,1.4433906,2.2375822,0.0
57.793842,1.5724263,2.1646323,0.0
57.61636,1.7484741,2.1587021,0.0
57.621876,1.9305234,2.1597743,0.0
57.521397,2.1075716,2.1568441,0.0
57.485916,2.28762,2.155915,0.0
58.11467,2.4046516,2.176962,0.0
57.20219,2.5456903,2.147016,0.0
56.75871,2.7047336,2.1320777,0.0
56.799225,2.8857827,2.1331484,0.0
56.912743,3.0708325,2.1382208,0.0
56.934258,3.2518816,2.1392908,0.0
56.994774,3.434931,2.141362,0.0
57.007526,3.5259557,2.142397,0.0
57.869045,3.7620187,2.1714897,0.0
58.518555,3.9890795,2.1945784,0.0
58.27607,4.157125,2.1866422,0.0
58.399582,4.350177,2.1917164,0.0
58.357098,4.531226,2.1907852,0.0
58.676853,4.649257,2.201831,0.0
27.145573,2.3956842,1.1318839,0.11
27.152094,2.4817085,1.1329142,0.1
27.19161,2.5717342,1.1339462,0.14
27.166128,2.655758,1.1339755,0.27
27.215889,2.7037716,1.1349925,0.12
27.308405,2.7997985,1.1390266,0.0
27.34592,2.890824,1.1410586,0.0
55.63566,9.924669,2.1247172,0.21
54.83242,9.870656,2.0976908,0.25
53.964935,9.889663,2.0686884,0.11
53.13745,9.910669,2.0416865,0.15
52.327965,9.929676,2.0146837,0.3
51.526485,9.944681,1.9886798,0.2
50.777,9.965688,1.9636778,0.16
50.03376,9.901672,1.9386475,0.31
29.570587,5.9406657,1.2320893,0.12
29.536102,6.02969,1.2311164,0.35
29.780611,6.1777296,1.2411664,0.39
29.561125,6.2297444,1.2341788,0.2
28.964647,6.198738,1.214159,0.25
28.749166,6.246752,1.2071698,0.29
28.695923,6.282762,1.2061797,0.3
15.889262,3.5750778,0.7621197,0.61
28.386461,6.4968214,1.1972384,0.33
28.828966,6.693873,1.213306,0.23
15.845805,3.7241218,0.7621584,0.16
16.152313,3.8501558,0.77320045,0.33
16.167074,3.8801641,0.7742088,0.46
15.752603,3.8331544,0.76018447,0.28
15.631121,3.856162,0.75618684,0.46
15.658638,3.915179,0.757203,0.39
16.20814,4.107229,0.77726954,0.48
16.202654,4.1602445,0.7772831,0.24
16.181171,4.209259,0.777295,0.54
27.457594,7.201015,1.1724226,0.2
27.425104,7.285038,1.1724455,0.43
27.366615,7.3620586,1.1714656,0.2
15.802491,4.2972875,0.7653047,0.34
15.833999,4.3603053,0.76732147,0.32
15.779522,4.3983164,0.76532894,0.31
15.849272,4.445329,0.76834303,0.57
15.832791,4.4943438,0.7683545,0.19
15.818306,4.5443583,0.76836616,0.44
15.789821,4.5903716,0.76837623,0.31
15.888333,4.6733937,0.7724,0.22
15.813854,4.7054033,0.76940477,0.58
15.748127,4.7674212,0.7684169,0.55
16.758596,5.132515,0.8045441,0.16
14.936191,4.624389,0.74034977,0.61
16.673628,5.22154,0.80256176,0.18
15.438196,4.8874583,0.7594318,0.28
15.484705,4.956477,0.7614496,0.54
15.075481,4.851452,0.7474075,0.32
15.237994,4.9564795,0.7534385,0.45
15.493491,5.094516,0.76348114,0.49
15.412011,5.121524,0.7614834,0.17
15.359532,5.1575346,0.76048887,0.57
15.173052,5.1485333,0.7534779,0.38
15.327555,5.2555623,0.7605088,0.17
18.80115,6.481868,0.8849466,0.39
18.748665,6.529881,0.8839551,0.4
16.53828,5.817705,0.8056909,0.32
30.612688,10.993992,1.314523,0.19
30.583193,11.092016,1.3145455,0.13
14.439442,5.284579,0.7324683,0.15
14.459199,5.3175874,0.7334761,0.42
14.403231,5.400611,0.7324896,0.6
14.453742,5.4716296,0.73450655,0.28
14.420253,5.5116415,0.73451245,0.26
14.48076,5.5876613,0.737531,0.27
14.392281,5.605667,0.7345291,0.56
14.359041,5.618671,0.7335295,0.3
14.349551,5.667684,0.7345383,0.17
25.23848,10.0637665,1.1330608,0.49
45.47501,18.30379,1.8749124,0.19
45.4665,18.466827,1.8759501,0.19
45.45399,18.628868,1.877987,0.2
29.85851,12.290313,1.3067878,0.14
16.918718,7.0250235,0.8319598,0.39
29.436527,12.335323,1.2937752,0.2
27.507135,11.628151,1.2245188,0.2
29.539526,12.597387,1.3008369,0.14
16.910757,7.274088,0.83600634,0.16
23.875843,10.360842,1.0940467,0.43
23.710611,10.332835,1.0890311,0.34
23.71011,10.422857,1.0900489,0.34
14.977171,6.639937,0.7667573,0.14
17.44651,7.80122,0.85913944,0.44
14.9052,6.720958,0.7657658,0.18
15.034699,6.8369875,0.77179515,0.58
15.032452,6.8649945,0.7717997,0.22
14.892976,6.8579936,0.7677877,0.34
14.997477,6.9640203,0.77181333,0.25
8.47256,3.9672961,0.52780825,0.49
8.391078,3.9622962,0.5257993,0.38
23.747393,11.300069,1.103218,0.14
8.509097,4.084329,0.53082514,0.14
8.2538805,3.978304,0.52178663,0.29
8.217397,3.993309,0.52078426,0.54
8.212915,4.0233173,0.5207869,0.27
8.173436,4.036322,0.51978385,0.48
8.177961,4.0703316,0.5207877,0.34
8.137471,4.0833364,0.51978445,0.6
14.01941,7.0860577,0.743749,0.37
8.103758,4.114346,0.51978356,0.1
8.10227,4.146355,0.5197864,0.39
8.095776,4.1763635,0.51978844,0.58
13.553734,7.041049,0.72969896,0.16
8.036823,4.2103744,0.51878446,0.14
8.014339,4.2313805,0.51878357,0.5
7.853868,4.1793694,0.5127594,0.56
7.9966087,4.2713923,0.51878476,0.22
30.922089,16.613323,1.4026843,0.13
16.417782,8.892491,0.84522736,0.36
16.440283,8.97251,0.84724045,0.28
