X,Y,Z,Intensity
77.07391,0.046020873,2.8149743,0.11
77.073456,0.28813067,2.8148386,0.0
40.10806,2.9803896,1.5672922,0.1
39.922592,3.092442,1.5622264,0.13
40.005356,3.1624742,1.5641855,0.2
40.11989,3.298537,1.5691059,0.23
40.32642,3.4436038,1.5760208,0.0
41.57294,3.6827118,1.618882,0.13
42.193474,3.8717978,1.6397713,0.09
39.447014,3.7427444,1.5468436,0.11
34.39957,3.3705847,1.3760558,0.34
36.01733,3.5866811,1.4319305,0.25
36.048855,3.704736,1.4328607,0.23
26.988977,2.9394073,1.1262987,0.36
33.660988,3.8868282,1.3527483,0.0
37.88273,4.4370704,1.4964291,0.0
33.716812,4.161956,1.3565842,0.28
33.76334,4.276009,1.3585161,0.11
34.230865,4.4440856,1.3744167,0.37
33.437397,4.44809,1.3474125,0.11
34.24092,4.665188,1.3752843,0.15
26.628286,3.7507935,1.1168126,0.3
26.621813,3.8358335,1.1167614,0.33
26.632343,3.9228745,1.117709,0.17
33.696796,5.0773807,1.3590348,0.21
37.29328,5.7426734,1.4826448,0.15
45.849724,7.2123165,1.7747852,0.08
45.928482,7.2993555,1.7777327,0.0
42.111042,6.826152,1.6480061,0.07
42.38456,7.008234,1.6588969,0.15
25.940287,4.3640857,1.09644,0.1
41.651608,7.156303,1.6348046,0.2
31.699022,5.594628,1.2947148,0.33
36.623474,6.587062,1.4641311,0.18
31.54407,5.7727103,1.290606,0.16
31.356596,5.8407426,1.2855638,0.18
32.07011,6.077848,1.3104223,0.15
31.759638,6.12287,1.3003936,0.21
31.824162,6.238923,1.303323,0.18
31.65892,6.258933,1.2973101,0.31
31.43545,6.3169603,1.2902737,0.0
31.64997,6.4640265,1.2981848,0.0
33.071465,6.864202,1.3479466,0.0
57.95556,12.234529,2.2057793,0.0
39.119396,8.379863,1.558048,0.05
28.821869,6.311971,1.2042639,0.28
28.721397,6.3840046,1.2012193,0.29
28.696917,6.4740458,1.2011639,0.43
28.744438,6.580094,1.203099,0.39
29.757936,6.9112387,1.2389009,0.29
29.724459,7.00228,1.2388448,0.3
29.806215,7.071311,1.2418028,0.32
31.819685,7.656565,1.3124539,0.11
32.209194,7.8576536,1.3263322,0.0
32.41071,8.014723,1.3342367,0.12
29.17831,7.3114223,1.2226512,0.18
29.096832,7.3884573,1.2206033,0.34
29.065355,7.4774976,1.2205483,0.3
29.372103,7.606554,1.2314703,0.0
77.09339,20.251987,2.8939562,0.0
61.63027,16.39333,2.357244,0.1
28.236689,7.597555,1.194469,0.12
28.163212,7.6725893,1.1924223,0.36
28.177729,7.7726336,1.1943605,0.38
36.302994,10.14165,1.4789479,0.28
36.303753,10.202677,1.4799101,0.26
36.25426,10.312724,1.4788418,0.34
36.42077,10.483799,1.4857371,0.0
61.526478,17.930983,2.367294,0.0
48.2524,14.224399,1.9035004,0.06
33.4164,9.961578,1.3840406,0.0
24.925468,7.4695153,1.0855268,0.16
24.882992,7.541548,1.0854819,0.12
25.003506,7.6646013,1.0904065,0.0
47.899162,14.860668,1.8971047,0.0
60.069218,18.847364,2.3277183,0.0
59.69872,18.937403,2.3166602,0.0
61.366146,19.679714,2.378212,0.0
61.395885,19.795763,2.3801403,0.0
61.310375,19.98184,2.3790247,0.0
42.943104,14.593549,1.7352372,0.06
43.048595,14.780627,1.7411222,0.09
43.117344,14.879669,1.7440615,0.08
43.507824,15.167789,1.7598858,0.08
43.57632,15.345863,1.7637761,0.0
43.142838,15.346863,1.7497724,0.0
42.757355,15.3608675,1.7377614,0.07
42.47387,15.409886,1.7297292,0.15
62.16707,23.338213,2.4419553,0.0
62.27454,23.60232,2.448793,0.05
48.394768,18.514181,1.9518486,0.0
48.33526,18.666245,1.9517545,0.0
18.994757,7.504564,0.8964643,0.48
18.837288,7.510567,0.8924595,0.31
18.669815,7.512569,0.88645715,0.52
18.531345,7.5245748,0.8824489,0.34
18.351873,7.5195737,0.8774509,0.46
18.224638,7.501567,0.87246114,0.36
18.06817,7.503568,0.86745894,0.46
17.912697,7.50557,0.8634567,0.37
17.75823,7.5065713,0.8584552,0.46
17.625755,7.5165763,0.8544483,0.37
17.469282,7.515577,0.84944797,0.47
17.35405,7.4985695,0.8454578,0.39
17.207579,7.499571,0.84145635,0.5
17.070112,7.5035734,0.8374531,0.4
16.934635,7.5085764,0.8324493,0.51
16.808168,7.5155797,0.82944435,0.39
16.650698,7.5085773,0.8244478,0.49
16.549465,7.494572,0.8204559,0.39
16.426985,7.502576,0.8174504,0.41
16.290516,7.5025764,0.81344974,0.42
16.152046,7.5005765,0.80845034,0.52
16.033575,7.50758,0.8054455,0.4
15.898111,7.5045786,0.80144674,0.53
15.799636,7.519585,0.7984371,0.4
15.693404,7.499577,0.79444903,0.41
15.555934,7.494576,0.7904515,0.41
15.442459,7.500579,0.78744745,0.42
15.324987,7.50358,0.7834452,0.43
15.209518,7.506582,0.780443,0.43
15.096051,7.5095835,0.7764408,0.45
14.989574,7.516587,0.7734362,0.43
14.879347,7.4905763,0.76945174,0.47
14.772868,7.496579,0.76644784,0.45
14.661397,7.49858,0.7634464,0.46
14.549928,7.4995804,0.76044554,0.48
14.4484625,7.504583,0.7574423,0.46
14.342991,7.5075846,0.7544403,0.45
14.235514,7.5095854,0.7504389,0.46
14.140288,7.487577,0.74745214,0.45
14.043808,7.49458,0.7454479,0.49
13.938342,7.49458,0.74144775,0.47
13.84787,7.502583,0.73944294,0.46
13.744395,7.5035834,0.73644227,0.49
13.644924,7.5055842,0.73344105,0.48
13.563696,7.488578,0.7304514,0.52
13.462223,7.488578,0.72745144,0.46
13.364756,7.489578,0.7244509,0.5
13.28828,7.502583,0.7224432,0.49
13.18681,7.5005827,0.7194446,0.48
13.086338,7.4985814,0.716446,0.49
13.000867,7.504584,0.71444255,0.5
12.925634,7.4885774,0.71145236,0.48
12.842164,7.49458,0.709449,0.51
12.754687,7.498581,0.7074469,0.48
12.667224,7.5005817,0.70444596,0.52
12.57175,7.4985805,0.7014475,0.51
12.488279,7.502582,0.6994455,0.54
12.418045,7.487576,0.6974548,0.52
12.3335705,7.4905767,0.6944534,0.5
12.288101,7.5155864,0.69343877,0.59
12.290609,7.571608,0.6954055,0.64
12.258136,7.604621,0.6943861,0.49
12.228653,7.6406345,0.69436496,0.55
12.15518,7.6486373,0.6923608,0.64
14.344589,9.05419,0.77951425,0.26
14.368093,9.133219,0.78146744,0.3
14.345612,9.182238,0.78143877,0.55
14.336117,9.24126,0.7824041,0.45
11.681588,7.639631,0.6783701,0.47
11.606361,7.6166215,0.6763843,0.42
11.534886,7.6226234,0.67438155,0.66
11.517414,7.662638,0.6743583,0.55
11.762873,7.880722,0.68522805,0.34
11.794385,7.955751,0.6881839,0.27
14.343441,9.735438,0.79211503,0.21
14.324953,9.789457,0.79208386,0.55
14.352704,9.841476,0.7940533,0.27
14.350214,9.906501,0.79501563,0.38
14.331722,9.961519,0.795984,0.46
14.3462305,10.038547,0.7979393,0.29
14.3267355,10.093565,0.7979078,0.56
10.724947,7.614612,0.65139693,0.17
10.505507,7.509571,0.6434611,0.54
10.438281,7.486562,0.6414755,0.53
10.3698015,7.488562,0.6394755,0.55
10.30733,7.4935627,0.6384738,0.55
10.234864,7.490561,0.6364768,0.54
10.1683855,7.4925604,0.63447696,0.56
10.121917,7.5075655,0.63346934,0.55
10.056449,7.508565,0.6314701,0.54
9.993217,7.4865556,0.629484,0.55
9.92874,7.488556,0.62748426,0.57
9.863271,7.4885545,0.62548566,0.53
9.8048,7.493555,0.6244842,0.59
9.77532,7.5205646,0.6244696,0.5
9.69785,7.5105596,0.6214771,0.46
9.628627,7.4815483,0.6194952,0.55
9.56716,7.4825473,0.6174962,0.55
9.556675,7.5235615,0.6184734,0.6
9.55519,7.571578,0.6194464,0.62
9.5617,7.6265974,0.62041533,0.62
9.559213,7.674614,0.6213885,0.61
9.549723,7.717629,0.6223647,0.63
9.561482,7.751641,0.6233454,0.64
9.563002,7.8026576,0.6243169,0.63
9.556511,7.8486733,0.6252914,0.62
9.56002,7.902692,0.62626123,0.61
9.558534,7.9527082,0.6272336,0.64
9.550053,7.996723,0.62820953,0.63
9.556802,8.028733,0.6291916,0.62
9.548323,8.072748,0.63016754,0.62
9.552833,8.128767,0.6311365,0.6
9.560341,8.187786,0.6321038,0.63
9.548845,8.2318,0.63308007,0.63
9.545367,8.280817,0.6340533,0.62
9.543868,8.333834,0.63502437,0.6
9.559623,8.373847,0.63700193,0.61
9.549132,8.41886,0.6369778,0.61
9.552644,8.47588,0.6389466,0.62
9.558153,8.534899,0.63991433,0.61
9.553671,8.584914,0.64088744,0.59
9.542181,8.629928,0.6418636,0.61
9.543686,8.686945,0.64283276,0.61
9.552434,8.722957,0.6438129,0.62
9.556941,8.782976,0.64578044,0.59
9.559452,8.840994,0.6467492,0.61
9.544965,8.8840065,0.64772683,0.61
9.542469,8.939023,0.6486975,0.61
9.550982,9.003042,0.65066296,0.61
9.55173,9.033052,0.6506469,0.61
9.551239,9.09007,0.6526166,0.61
9.554738,9.152087,0.6535835,0.61
9.544251,9.200102,0.6545587,0.59
9.543759,9.258118,0.65552807,0.59
9.54327,9.316135,0.6574975,0.62
9.534779,9.367149,0.65847117,0.6
9.552518,9.415165,0.6594449,0.59
9.553036,9.474182,0.66141397,0.6
9.542543,9.524197,0.66238844,0.62
9.540043,9.583213,0.6633578,0.61
9.541543,9.646231,0.66532487,0.6
9.531057,9.696244,0.6662996,0.59
9.536562,9.763263,0.66726446,0.61
9.554308,9.812278,0.669238,0.61
9.536814,9.857289,0.6702159,0.7
9.714251,10.10337,0.6800769,0.43
9.712759,10.165386,0.6810451,0.28
9.729248,10.248411,0.6840014,0.34
9.709763,10.29242,0.6839803,0.46
9.7494955,10.367444,0.6869391,0.33
9.731,10.414454,0.6879165,0.23
9.688525,10.434458,0.68690956,0.42
9.678024,10.490471,0.68888193,0.55
9.665533,10.543484,0.68985605,0.68
9.721008,10.671522,0.693787,0.3
9.711517,10.728536,0.6947591,0.3
9.719262,10.771548,0.6957368,0.41
9.747745,10.872576,0.6996837,0.35
9.7512455,10.945595,0.7016469,0.39
9.785734,11.053625,0.7045901,0.23
9.693268,11.020609,0.7016145,0.33
9.670769,11.066619,0.7025936,0.51
9.647277,11.110627,0.7025739,0.41
9.614044,11.107623,0.7025784,0.58
9.556566,11.112618,0.70058125,0.56
9.533075,11.156628,0.70156175,0.55
9.534569,11.230645,0.7035252,0.57
9.531061,11.299662,0.7054918,0.56
9.521565,11.360676,0.70646286,0.56
9.5393095,11.417691,0.7084333,0.54
9.536804,11.488708,0.710399,0.54
9.530298,11.555722,0.7113671,0.55
9.535793,11.636743,0.71432734,0.55
9.530288,11.705758,0.71529454,0.55
9.518793,11.76677,0.7172663,0.55
9.521282,11.846789,0.7192277,0.55
9.5320215,11.898802,0.72020155,0.52
9.533516,11.977819,0.7231636,0.54
